Brand,Type,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price
Alfa-Romero,Giulia,Gas,Std,Two,Convertible,Rwd,Front,88.6,168.8,64.1,48.8,2548,Dohc,Four,130,Mpfi,3.47,2.68,9.0,111,5000,21,27,13495.0
Alfa-Romero,Stelvio,Gas,Std,Two,Convertible,Rwd,Front,88.6,168.8,64.1,48.8,2548,Dohc,Four,130,Mpfi,3.47,2.68,9.0,111,5000,21,27,16500.0
Alfa-Romero,Quadrifoglio,Gas,Std,Two,Hatchback,Rwd,Front,94.5,171.2,65.5,52.4,2823,Ohcv,Six,152,Mpfi,2.68,3.47,9.0,154,5000,19,26,16500.0
Audi,100 Ls,Gas,Std,Four,Sedan,Fwd,Front,99.8,176.6,66.2,54.3,2337,Ohc,Four,109,Mpfi,3.19,3.4,10.0,102,5500,24,30,13950.0
Audi,100 Ls,Gas,Std,Four,Sedan,4Wd,Front,99.4,176.6,66.4,54.3,2824,Ohc,Five,136,Mpfi,3.19,3.4,8.0,115,5500,18,22,17450.0
Audi,Fox,Gas,Std,Two,Sedan,Fwd,Front,99.8,177.3,66.3,53.1,2507,Ohc,Five,136,Mpfi,3.19,3.4,8.5,110,5500,19,25,15250.0
Audi,100 Ls,Gas,Std,Four,Sedan,Fwd,Front,105.8,192.7,71.4,55.7,2844,Ohc,Five,136,Mpfi,3.19,3.4,8.5,110,5500,19,25,17710.0
Audi,5000,Gas,Std,Four,Wagon,Fwd,Front,105.8,192.7,71.4,55.7,2954,Ohc,Five,136,Mpfi,3.19,3.4,8.5,110,5500,19,25,18920.0
Audi,4000,Gas,Turbo,Four,Sedan,Fwd,Front,105.8,192.7,71.4,55.9,3086,Ohc,Five,131,Mpfi,3.13,3.4,8.3,140,5500,17,20,23875.0
Audi,5000S (Diesel),Gas,Turbo,Two,Hatchback,4Wd,Front,99.5,178.2,67.9,52.0,3053,Ohc,Five,131,Mpfi,3.13,3.4,7.0,160,5500,16,22,17859.167
Bmw,320I,Gas,Std,Two,Sedan,Rwd,Front,101.2,176.8,64.8,54.3,2395,Ohc,Four,108,Mpfi,3.5,2.8,8.8,101,5800,23,29,16430.0
Bmw,320I,Gas,Std,Four,Sedan,Rwd,Front,101.2,176.8,64.8,54.3,2395,Ohc,Four,108,Mpfi,3.5,2.8,8.8,101,5800,23,29,16925.0
Bmw,X1,Gas,Std,Two,Sedan,Rwd,Front,101.2,176.8,64.8,54.3,2710,Ohc,Six,164,Mpfi,3.31,3.19,9.0,121,4250,21,28,20970.0
Bmw,X3,Gas,Std,Four,Sedan,Rwd,Front,101.2,176.8,64.8,54.3,2765,Ohc,Six,164,Mpfi,3.31,3.19,9.0,121,4250,21,28,21105.0
Bmw,Z4,Gas,Std,Four,Sedan,Rwd,Front,103.5,189.0,66.9,55.7,3055,Ohc,Six,164,Mpfi,3.31,3.19,9.0,121,4250,20,25,24565.0
Bmw,X4,Gas,Std,Four,Sedan,Rwd,Front,103.5,189.0,66.9,55.7,3230,Ohc,Six,209,Mpfi,3.62,3.39,8.0,182,5400,16,22,30760.0
Bmw,X5,Gas,Std,Two,Sedan,Rwd,Front,103.5,193.8,67.9,53.7,3380,Ohc,Six,209,Mpfi,3.62,3.39,8.0,182,5400,16,22,41315.0
Bmw,X3,Gas,Std,Four,Sedan,Rwd,Front,110.0,197.0,70.9,56.3,3505,Ohc,Six,209,Mpfi,3.62,3.39,8.0,182,5400,15,20,36880.0
Chevrolet,Impala,Gas,Std,Two,Hatchback,Fwd,Front,88.4,141.1,60.3,53.2,1488,L,Three,61,2Bbl,2.91,3.03,9.5,48,5100,47,53,5151.0
Chevrolet,Monte Carlo,Gas,Std,Two,Hatchback,Fwd,Front,94.5,155.9,63.6,52.0,1874,Ohc,Four,90,2Bbl,3.03,3.11,9.6,70,5400,38,43,6295.0
Chevrolet,Vega 2300,Gas,Std,Four,Sedan,Fwd,Front,94.5,158.8,63.6,52.0,1909,Ohc,Four,90,2Bbl,3.03,3.11,9.6,70,5400,38,43,6575.0
Dodge,Rampage,Gas,Std,Two,Hatchback,Fwd,Front,93.7,157.3,63.8,50.8,1876,Ohc,Four,90,2Bbl,2.97,3.23,9.41,68,5500,37,41,5572.0
Dodge,Challenger Se,Gas,Std,Two,Hatchback,Fwd,Front,93.7,157.3,63.8,50.8,1876,Ohc,Four,90,2Bbl,2.97,3.23,9.4,68,5500,31,38,6377.0
Dodge,D200,Gas,Turbo,Two,Hatchback,Fwd,Front,93.7,157.3,63.8,50.8,2128,Ohc,Four,98,Mpfi,3.03,3.39,7.6,102,5500,24,30,7957.0
Dodge,Monaco (Sw),Gas,Std,Four,Hatchback,Fwd,Front,93.7,157.3,63.8,50.6,1967,Ohc,Four,90,2Bbl,2.97,3.23,9.4,68,5500,31,38,6229.0
Dodge,Colt Hardtop,Gas,Std,Four,Sedan,Fwd,Front,93.7,157.3,63.8,50.6,1989,Ohc,Four,90,2Bbl,2.97,3.23,9.4,68,5500,31,38,6692.0
Dodge,Colt (Sw),Gas,Std,Four,Sedan,Fwd,Front,93.7,157.3,63.8,50.6,1989,Ohc,Four,90,2Bbl,2.97,3.23,9.4,68,5500,31,38,7609.0
Dodge,Coronet Custom,Gas,Turbo,Two,Sedan,Fwd,Front,93.7,157.3,63.8,50.6,2191,Ohc,Four,98,Mpfi,3.03,3.39,7.6,102,5500,24,30,8558.0
Dodge,Dart Custom,Gas,Std,Four,Wagon,Fwd,Front,103.3,174.6,64.6,59.8,2535,Ohc,Four,122,2Bbl,3.34,3.46,8.5,88,5000,24,30,8921.0
Dodge,Coronet Custom (Sw),Gas,Turbo,Two,Hatchback,Fwd,Front,95.9,173.2,66.3,50.2,2811,Ohc,Four,156,Mfi,3.6,3.9,7.0,145,5000,19,24,12964.0
Honda,Civic,Gas,Std,Two,Hatchback,Fwd,Front,86.6,144.6,63.9,50.8,1713,Ohc,Four,92,1Bbl,2.91,3.41,9.6,58,4800,49,54,6479.0
Honda,Civic Cvcc,Gas,Std,Two,Hatchback,Fwd,Front,86.6,144.6,63.9,50.8,1819,Ohc,Four,92,1Bbl,2.91,3.41,9.2,76,6000,31,38,6855.0
Honda,Civic,Gas,Std,Two,Hatchback,Fwd,Front,93.7,150.0,64.0,52.6,1837,Ohc,Four,79,1Bbl,2.91,3.07,10.1,60,5500,38,42,5399.0
Honda,Accord Cvcc,Gas,Std,Two,Hatchback,Fwd,Front,93.7,150.0,64.0,52.6,1940,Ohc,Four,92,1Bbl,2.91,3.41,9.2,76,6000,30,34,6529.0
Honda,Civic Cvcc,Gas,Std,Two,Hatchback,Fwd,Front,93.7,150.0,64.0,52.6,1956,Ohc,Four,92,1Bbl,2.91,3.41,9.2,76,6000,30,34,7129.0
Honda,Accord Lx,Gas,Std,Four,Sedan,Fwd,Front,96.5,163.4,64.0,54.5,2010,Ohc,Four,92,1Bbl,2.91,3.41,9.2,76,6000,30,34,7295.0
Honda,Civic 1500 Gl,Gas,Std,Four,Wagon,Fwd,Front,96.5,157.1,63.9,58.3,2024,Ohc,Four,92,1Bbl,2.92,3.41,9.2,76,6000,30,34,7295.0
Honda,Accord,Gas,Std,Two,Hatchback,Fwd,Front,96.5,167.5,65.2,53.3,2236,Ohc,Four,110,1Bbl,3.15,3.58,9.0,86,5800,27,33,7895.0
Honda,Civic 1300,Gas,Std,Two,Hatchback,Fwd,Front,96.5,167.5,65.2,53.3,2289,Ohc,Four,110,1Bbl,3.15,3.58,9.0,86,5800,27,33,9095.0
Honda,Prelude,Gas,Std,Four,Sedan,Fwd,Front,96.5,175.4,65.2,54.1,2304,Ohc,Four,110,1Bbl,3.15,3.58,9.0,86,5800,27,33,8845.0
Honda,Accord,Gas,Std,Four,Sedan,Fwd,Front,96.5,175.4,62.5,54.1,2372,Ohc,Four,110,1Bbl,3.15,3.58,9.0,86,5800,27,33,10295.0
Honda,Civic,Gas,Std,Four,Sedan,Fwd,Front,96.5,175.4,65.2,54.1,2465,Ohc,Four,110,Mpfi,3.15,3.58,9.0,101,5800,24,28,12945.0
Honda,Civic (Auto),Gas,Std,Two,Sedan,Fwd,Front,96.5,169.1,66.0,51.0,2293,Ohc,Four,110,2Bbl,3.15,3.58,9.1,100,5500,25,31,10345.0
Isuzu,Mu-X,Gas,Std,Four,Sedan,Rwd,Front,94.3,170.7,61.8,53.5,2337,Ohc,Four,111,2Bbl,3.31,3.23,8.5,78,4800,24,29,6785.0
Isuzu,D-Max ,Gas,Std,Two,Sedan,Fwd,Front,94.5,155.9,63.6,52.0,1874,Ohc,Four,90,2Bbl,3.03,3.11,9.6,70,5400,38,43,8916.5
Isuzu,D-Max V-Cross,Gas,Std,Four,Sedan,Fwd,Front,94.5,155.9,63.6,52.0,1909,Ohc,Four,90,2Bbl,3.03,3.11,9.6,70,5400,38,43,8916.5
Isuzu,D-Max ,Gas,Std,Two,Hatchback,Rwd,Front,96.0,172.6,65.2,51.4,2734,Ohc,Four,119,Spfi,3.43,3.23,9.2,90,5000,24,29,11048.0
Jaguar,Xj,Gas,Std,Four,Sedan,Rwd,Front,113.0,199.6,69.6,52.8,4066,Dohc,Six,258,Mpfi,3.63,4.17,8.1,176,4750,15,19,32250.0
Jaguar,Xf,Gas,Std,Four,Sedan,Rwd,Front,113.0,199.6,69.6,52.8,4066,Dohc,Six,258,Mpfi,3.63,4.17,8.1,176,4750,15,19,35550.0
Jaguar,Xk,Gas,Std,Two,Sedan,Rwd,Front,102.0,191.7,70.6,47.8,3950,Ohcv,Twelve,326,Mpfi,3.54,2.76,11.5,262,5000,13,17,36000.0
Mazda,Rx3,Gas,Std,Two,Hatchback,Fwd,Front,93.1,159.1,64.2,54.1,1890,Ohc,Four,91,2Bbl,3.03,3.15,9.0,68,5000,30,31,5195.0
Mazda,Glc Deluxe,Gas,Std,Two,Hatchback,Fwd,Front,93.1,159.1,64.2,54.1,1900,Ohc,Four,91,2Bbl,3.03,3.15,9.0,68,5000,31,38,6095.0
Mazda,Rx2 Coupe,Gas,Std,Two,Hatchback,Fwd,Front,93.1,159.1,64.2,54.1,1905,Ohc,Four,91,2Bbl,3.03,3.15,9.0,68,5000,31,38,6795.0
Mazda,Rx-4,Gas,Std,Four,Sedan,Fwd,Front,93.1,166.8,64.2,54.1,1945,Ohc,Four,91,2Bbl,3.03,3.15,9.0,68,5000,31,38,6695.0
